
epoch:1  D_loss:tensor(0.5083, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0517, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:2  D_loss:tensor(0.5125, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0687, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:3  D_loss:tensor(0.6172, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0631, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:4  D_loss:tensor(0.5458, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0407, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:5  D_loss:tensor(0.7726, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0564, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:6  D_loss:tensor(0.5723, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0531, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:7  D_loss:tensor(0.5895, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0624, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:8  D_loss:tensor(0.4148, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0238, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:9  D_loss:tensor(0.6905, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0669, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:10  D_loss:tensor(0.6820, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0439, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:11  D_loss:tensor(0.3905, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0741, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:12  D_loss:tensor(0.5260, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0552, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:13  D_loss:tensor(0.6324, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0413, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:14  D_loss:tensor(0.8544, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0258, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:15  D_loss:tensor(0.5571, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0503, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:16  D_loss:tensor(0.7343, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0611, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:17  D_loss:tensor(0.8158, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0281, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:18  D_loss:tensor(0.7139, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0187, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:19  D_loss:tensor(0.5452, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0337, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:20  D_loss:tensor(0.7954, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0299, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:21  D_loss:tensor(0.3519, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0570, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:22  D_loss:tensor(0.4915, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0378, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:23  D_loss:tensor(0.5200, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0581, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:24  D_loss:tensor(0.5699, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0442, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:25  D_loss:tensor(0.5911, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0239, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:26  D_loss:tensor(0.5162, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0447, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:27  D_loss:tensor(0.6386, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0583, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:28  D_loss:tensor(0.5390, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0250, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:29  D_loss:tensor(0.5865, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0404, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:30  D_loss:tensor(0.5166, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0327, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:31  D_loss:tensor(0.5416, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0594, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:32  D_loss:tensor(0.7270, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0457, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:33  D_loss:tensor(0.4652, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0621, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:34  D_loss:tensor(0.5705, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0698, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:35  D_loss:tensor(0.6249, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0446, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:36  D_loss:tensor(0.5438, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0276, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:37  D_loss:tensor(0.5252, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0398, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:38  D_loss:tensor(0.8268, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0385, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:39  D_loss:tensor(0.4888, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0507, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:40  D_loss:tensor(0.5755, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0493, device='cuda:0', grad_fn=<L1LossBackward0>)
